row_index,column,before_value,after_value,difference,type
0,salary,70585.6669482087,70724.9214735813,139.25452537259844,numerical
1,salary,39833.20860509924,39628.29621645388,204.9123886453599,numerical
2,salary,67302.97808011803,67384.39502845127,81.41694833323709,numerical
3,salary,44374.840574452784,44303.28889252695,71.55168192583369,numerical
4,salary,39587.81069738759,39514.65644042563,73.15425696196326,numerical
5,salary,51647.90109564873,51623.06529300752,24.83580264120974,numerical
6,salary,55136.85377011271,54994.39540613961,142.45836397310632,numerical
7,salary,78672.94409764142,78717.2226501736,44.27855253218149,numerical
8,salary,54793.06368303072,54812.135179702396,19.07149667167687,numerical
9,salary,52899.170927740786,52925.790152559515,26.61922481872898,numerical
10,salary,73942.1441585245,74030.84726073779,88.70310221328691,numerical
11,salary,59015.80916317305,59167.287367792465,151.47820461941592,numerical
12,salary,40335.87229748078,40299.501192572025,36.37110490875784,numerical
13,salary,70339.55577962288,70387.29084359654,47.73506397365418,numerical
14,salary,38905.71845855971,38935.017279393214,29.29882083350094,numerical
15,salary,40261.29082499436,40299.052275627255,37.76145063289732,numerical
16,salary,37272.1895091813,37311.4492756279,39.259766446601134,numerical
17,salary,35956.32457583066,36115.374910287144,159.05033445648587,numerical
18,salary,54997.59942259737,54951.631735748444,45.96768684892595,numerical
19,salary,46131.46753184685,45978.89394152648,152.57359032036766,numerical
20,salary,-2172.538204548342,-2242.3255814099307,69.78737686158865,numerical
21,salary,45976.05407075731,46051.78076411085,75.72669335354294,numerical
22,salary,42231.316162915486,42233.6491137802,2.332950864714803,numerical
23,salary,63392.38046448283,63345.62053043333,46.75993404949986,numerical
24,salary,41551.12082809456,41443.47110125359,107.64972684096574,numerical
25,salary,88088.86686816339,88110.99548033644,22.128612173051806,numerical
26,salary,70951.90368155364,71016.35430908101,64.45062752737431,numerical
27,salary,44151.34413485333,44181.931340362935,30.587205509604246,numerical
28,salary,67244.34618249623,67219.01314938073,25.333033115501166,numerical
29,salary,57878.175690364216,57892.83981879396,14.664128429743869,numerical
30,salary,53501.986947203644,53516.071243859384,14.084296655739308,numerical
31,salary,62039.78383411144,62058.75352723321,18.969693121769524,numerical
32,salary,50811.063113907294,50692.63261880538,118.43049510191486,numerical
33,salary,53605.267341162165,53624.999976223655,19.732635061489418,numerical
34,salary,62350.287744184476,62306.22809733786,44.0596468466174,numerical
35,salary,80786.79112618235,80890.85298678333,104.06186060098116,numerical
36,salary,53767.92458329511,53781.21644747014,13.291864175029332,numerical
37,salary,43193.05002541766,43276.59794759995,83.54792218228977,numerical
38,salary,19561.53717359017,19531.359034885198,30.178138704974117,numerical
39,salary,79419.55207945456,79392.98069569342,26.57138376114017,numerical
40,salary,46051.3743114206,46200.79943604623,149.42512462563172,numerical
41,salary,58022.139351219004,58065.77287006056,43.63351884155418,numerical
42,salary,78588.60855390491,78517.15710066434,71.45145324057376,numerical
43,salary,53414.034813957376,53503.73225781942,89.69744386204547,numerical
44,salary,47079.9460718378,47026.61559849502,53.33047334278672,numerical
45,salary,71295.09466315617,71317.66447693732,22.569813781155972,numerical
46,salary,56911.05601345879,57094.72347654473,183.66746308594156,numerical
47,salary,58791.58407085101,58648.4558320872,143.1282387638057,numerical
48,salary,27152.58694292359,27135.008750746936,17.57819217665383,numerical
49,salary,68088.72810863878,68129.55527272899,40.82716409020941,numerical
50,salary,55633.82101987468,55710.29085334115,76.46983346646448,numerical
51,salary,29426.15930415314,29302.035913417054,124.12339073608746,numerical
52,salary,57276.411674199124,57122.832647341624,153.57902685750014,numerical
53,salary,19062.11489132376,19171.1898265228,109.07493519904165,numerical
54,salary,85129.62803769493,85057.58655201455,72.04148568038363,numerical
55,salary,33472.17800027359,33395.94974947386,76.22825079972972,numerical
56,salary,74176.89148577653,74331.91645305375,155.02496727721882,numerical
57,salary,37805.6667782202,37812.63700969338,6.970231473183958,numerical
58,salary,58403.385664560796,58411.009487328956,7.623822768160608,numerical
59,salary,36318.07615085752,36300.09620634237,17.979944515151146,numerical
60,salary,64956.7283284673,64834.330121792984,122.39820667431923,numerical
61,salary,46470.21887139122,46537.78856633066,67.56969493944052,numerical
62,salary,57016.69319311564,57057.638245308204,40.94505219256098,numerical
63,salary,50225.96572368492,50242.83485621887,16.869132533945958,numerical
64,salary,29515.028202745165,29503.39589881754,11.63230392762489,numerical
65,salary,57561.60289535801,57532.37093042418,29.231964933831478,numerical
66,salary,42451.43771501378,42542.68605396852,91.24833895474148,numerical
67,salary,65679.69189511416,65665.56258879355,14.12930632061034,numerical
68,salary,46462.102877739846,46455.696773886455,6.40610385339096,numerical
69,salary,48848.54136457502,48901.5306800634,52.98931548837572,numerical
70,salary,75243.89696559405,75264.69305866209,20.796093068041955,numerical
71,salary,85724.55191761925,85888.77952337329,164.2276057540439,numerical
72,salary,61790.50933568124,61614.37265793391,176.1366777473304,numerical
73,salary,45692.89853864922,45722.88928248594,29.990743836722686,numerical
74,salary,44380.08007465784,44309.51949661062,70.56057804721786,numerical
75,salary,37719.8452202213,37625.63656674581,94.20865347549261,numerical
76,salary,40621.42724669665,40575.72082609221,45.70642060443788,numerical
77,salary,45895.85384744047,45901.321788288646,5.467940848175203,numerical
78,salary,79463.7945049235,79473.70141251585,9.906907592347125,numerical
79,salary,47041.674937197145,46889.9443156293,151.73062156784727,numerical
80,salary,31609.204937028462,31555.09655406068,54.108382967780926,numerical
81,salary,50624.97900688074,50653.10116202839,28.1221551476483,numerical
82,salary,52671.926386415966,52584.2333413376,87.69304507836205,numerical
83,salary,50534.53189775684,50423.053507285185,111.47839047165326,numerical
84,salary,61995.36833877811,61769.75510802882,225.61323074929533,numerical
85,salary,51035.0826703855,50968.76332554796,66.31934483753867,numerical
86,salary,61530.912382209935,61415.94946231486,114.96291989507881,numerical
87,salary,38294.84968913427,38196.45640082327,98.39328831100283,numerical
88,salary,76710.94157217834,76683.75954185038,27.182030327967368,numerical
89,salary,53787.19682515378,53727.21393749949,59.98288765428879,numerical
90,salary,56003.284556105566,55886.66076671964,116.62378938592883,numerical
91,salary,38232.321592800465,38020.737436277144,211.58415652332042,numerical
92,salary,57077.40486899594,57107.635999510705,30.231130514766846,numerical
93,salary,59765.97585005456,59841.258571435406,75.28272138084867,numerical
94,salary,32453.47349262365,32413.798994724213,39.674497899435664,numerical
95,salary,25113.62617418515,25087.04860453972,26.57756964542932,numerical
96,salary,54404.990354141984,54405.2714057106,0.28105156861420255,numerical
97,salary,42668.45264816701,42826.33100582824,157.8783576612259,numerical
98,salary,53898.82203703594,53742.051257653366,156.7707793825757,numerical
99,salary,30634.458936528274,30593.00996394102,41.44897258725541,numerical
100,salary,26592.41128425994,26420.213987846666,172.19729641327285,numerical
101,salary,53100.34194501615,53136.573790889706,36.23184587355354,numerical
102,salary,44753.243585647215,44738.84774626842,14.395839378797973,numerical
103,salary,18339.507182747322,18359.80639404093,20.299211293608096,numerical
104,salary,70146.48227161594,70161.79452787504,15.31225625910156,numerical
105,salary,30385.14397724364,30484.21480261399,99.0708253703524,numerical
